ID,Start time,Completion time,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far2,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
72,12/21/20 7:31:12,12/21/20 7:42:04,Man,30-39,Nairobi,2,1985,5,63.83,61,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,178,tall
73,12/21/20 9:44:38,12/21/20 9:46:14,Man,40-49,Zurich,0,1979,3,69,70,Agree,Agree,Agree,Agree,Agree,184,tall
74,12/21/20 9:41:13,12/21/20 9:47:36,Man,50-59,Rome,1,1969,5,63,60,Agree,Agree,Disagree,Completely Agree,Agree,1500,tall
75,12/21/20 11:00:07,12/21/20 11:39:42,Woman,30-39,Accra,2,1982,2,58,70,Agree,Agree,Disagree,Agree,Agree,164,short
76,12/21/20 22:43:00,12/21/20 22:46:40,Man,30-39,Abuja Nigeria,0,1984,5,55,60,Agree,Agree,Disagree,Agree,Agree,176,average
77,12/22/20 12:16:01,12/22/20 12:17:25,Woman,20-29,tel aviv,1,1991,5,54,54,Meh,Meh,Agree,Meh,Agree,160,average
78,12/23/20 0:32:11,12/23/20 0:36:27,Woman,50-59,Bucharest ,0,1967,2,55,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,1.6,short
79,12/24/20 5:09:01,12/24/20 5:13:28,Woman,30-39,Johannesburg,2,1987,3,52,50,Agree,Meh,Agree,Agree,Agree,156,average
80,12/24/20 5:57:20,12/24/20 6:02:17,Man,30-39,Ho Chi Minh City,0,1987,4,66,55,Agree,Agree,Meh,Agree,Agree,172,average
81,12/25/20 2:37:23,12/25/20 2:39:52,Man,30-39,Hanoi,0,1989,5,65,70,Agree,Agree,Disagree,Agree,Agree,160,average
82,12/27/20 21:48:26,12/27/20 21:51:18,Man,40-49,Valetta,0,1972,5,60,60,Agree,Agree,Disagree,Agree,Agree,172,average
83,12/28/20 14:37:47,12/28/20 14:39:24,Woman,30-39,New York,0,1986,5,55,61,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,60,short
84,12/29/20 6:55:54,12/29/20 6:59:26,Man,30-39,Sulaymaniah - Iraq,2,1982,5,120,70,Agree,Completely Agree,Completely Disagree,Completely Agree,Agree,168,average
85,12/30/20 12:46:29,12/30/20 12:48:36,Man,40-49,Amsterdam,1,1976,5,60,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,185,average
86,12/30/20 12:52:50,12/30/20 12:57:19,Man,50-59,Vienna,0,1969,5,70.33,75,Agree,Meh,Meh,Agree,Agree,168,average
87,1/4/21 9:36:14,1/4/21 9:37:50,Woman,40-49,Nairobi,2,1975,5,68,70,Completely Agree,Completely Agree,Disagree,Agree,Agree,155,average
